ID	Label	Bipartito
769	Gongylophis colubrinus	0
770	Gongylophis conicus	0
771	Lichanura trivirgata	0
772	Ammotragus lervia	0
773	Budorcas taxicolor	0
774	Cephalophus dorsalis	0
775	Cephalophus silvicultor	0
776	Damaliscus pygargus	0
777	Damaliscus pygargus pygargus	0
778	Kobus leche	0
779	Ovis ammon	0
780	Ovis canadensis	0
781	Ovis darwini	0
782	Ovis karelini	0
783	Philantomba monticola	0
784	Saiga tatarica	0
785	Tillandsia spp.	0
786	Tillandsia harrisii	0
787	Tillandsia kautskyi	0
788	Tillandsia xerographica	0
789	Aceros cassidix	0
790	Aceros corrugatus	0
791	Aceros leucocephalus	0
792	Anorrhinus spp.	0
793	Anthracoceros albirostris	0
794	Buceros hydrocorax	0
795	Buceros rhinoceros	0
796	Penelopides spp.	0
797	Penelopides exarhatus	0
798	Rhyticeros plicatus	0
799	Rhyticeros undulatus	0
800	Cacatua spp.	0
801	Cacatua alba	0
802	Cacatua ducorpsii	0
803	Cacatua galerita	0
804	Cacatua hybrid	0
805	Cacatua leadbeateri	0
806	Cacatua ophthalmica	0
807	Cacatua pastinator	0
808	Cacatua sanguinea	0
809	Cacatua sulphurea	0
810	Cacatua tenuirostris	0
811	Callocephalon fimbriatum	0
812	Calyptorhynchus banksii	0
813	Eolophus roseicapilla	0
814	Acanthocereus cuixmalensis	0
815	Acanthocereus maculatus	0
816	Acanthocereus tetragonus	0
817	Acharagma roseanum	0
818	Aporocactus spp.	0
819	Aporocactus martianus	0
820	Armatocereus cartwrightianus	0
821	Armatocereus laetus	0
822	Armatocereus matucanensis	0
823	Armatocereus procerus	0
824	Armatocereus rauhii	0
825	Arrojadoa spp.	0
826	Arrojadoa rhodantha	0
827	Astrophytum spp.	0
828	Astrophytum capricorne	0
829	Astrophytum myriostigma	0
830	Astrophytum ornatum	0
831	Austrocactus coxii	0
832	Austrocactus spiniflorus	0
833	Austrocylindropuntia floccosa	0
834	Austrocylindropuntia pachypus	0
835	Austrocylindropuntia subulata	0
836	Austrocylindropuntia vestita	0
837	Aztekium hintonii	0
838	Blossfeldia spp.	0
839	Blossfeldia liliputana	0
840	Borzicactus spp.	0
841	Borzicactus fieldianus	0
842	Borzicactus icosagonus	0
843	Brasiliopuntia brasiliensis	0
844	Browningia candelaris	0
845	Browningia chlorocarpa	0
846	Browningia hertlingiana	0
847	Cactaceae hybrid	0
848	Calymmanthium substerile	0
849	Carnegiea gigantea	0
850	Cephalocereus spp.	0
851	Cephalocereus euphorbioides	0
852	Cephalocereus polylophus	0
853	Cephalocereus senilis	0
854	Cereus spp.	0
855	Cereus aethiops	0
856	Cereus hexagonus	0
857	Cereus hildmannianus	0
858	Cereus jamacaru	0
859	Cereus repandus	0
860	Cleistocactus spp.	0
861	Cleistocactus brookeae	0
862	Cleistocactus buchtienii	0
863	Cleistocactus hyalacanthus	0
864	Cleistocactus ritteri	0
865	Cleistocactus samaipatanus	0
866	Cleistocactus smaragdiflorus	0
867	Cleistocactus strausii	0
868	Cleistocactus winteri	0
869	Coleocephalocereus aureus	0
870	Coleocephalocereus goebelianus	0
871	Consolea moniliformis	0
872	Consolea spinosissima	0
873	Copiapoa spp.	0
874	Copiapoa calderana	0
875	Copiapoa cinerascens	0
876	Copiapoa cinerea	0
877	Copiapoa coquimbana	0
878	Copiapoa dealbata	0
879	Copiapoa echinoides	0
880	Copiapoa esmeraldana	0
881	Copiapoa fiedleriana	0
882	Copiapoa grandiflora	0
883	Copiapoa humilis	0
884	Copiapoa hypogaea	0
885	Copiapoa krainziana	0
886	Copiapoa longistaminea	0
887	Copiapoa marginata	0
888	Copiapoa megarhiza	0
889	Copiapoa montana	0
890	Copiapoa serpentisulcata	0
891	Copiapoa solaris	0
892	Copiapoa taltalensis	0
893	Coryphantha spp.	0
894	Coryphantha clavata	0
895	Coryphantha compacta	0
896	Coryphantha cornifera	0
897	Coryphantha delaetiana	0
898	Coryphantha durangensis	0
899	Coryphantha echinus	0
900	Coryphantha elephantidens	0
901	Coryphantha erecta	0
902	Coryphantha glanduligera	0
903	Coryphantha macromeris	0
904	Coryphantha ottonis	0
905	Coryphantha pallida	0
906	Coryphantha potosiana	0
907	Coryphantha pseudoechinus	0
908	Coryphantha pycnacantha	0
909	Coryphantha recurvata	0
910	Coryphantha vogtherriana	0
911	Cumarinia odorata	0
912	Cumulopuntia sphaerica	0
913	Cylindropuntia spp.	0
914	Cylindropuntia acanthocarpa	0
915	Cylindropuntia arbuscula	0
916	Cylindropuntia bigelovii	0
917	Cylindropuntia caribaea	0
918	Cylindropuntia echinocarpa	0
919	Cylindropuntia fulgida	0
920	Cylindropuntia imbricata	0
921	Cylindropuntia kleiniae	0
922	Cylindropuntia spinosior	0
923	Cylindropuntia tunicata	0
924	Cylindropuntia versicolor	0
925	Cylindropuntia whipplei	0
926	Dendrocereus spp.	0
927	Denmoza rhodacantha	0
928	Disocactus spp.	0
929	Disocactus ackermannii	0
930	Disocactus anguliger	0
931	Disocactus crenatus	0
932	Disocactus lepidocarpus	0
933	Disocactus macranthus	0
934	Disocactus nelsonii	0
935	Disocactus phyllanthoides	0
936	Disocactus speciosus	0
937	Echinocactus spp.	0
938	Echinocactus grusonii	0
939	Echinocactus horizonthalonius	0
940	Echinocactus platyacanthus	0
