ID	Label
939	Buffalo '66
940	Lemony Snicket's A Series of Unfortunate Events
941	Beloved
942	Them!
943	Topkapi
944	Titus
945	The Hand That Rocks the Cradle
946	Alive
947	Knife in the Water
948	Multiplicity
949	Uranus
950	Rock Star
951	Don't Move
952	In & Out
953	Bells Are Ringing
954	Georgia
955	Head
956	Lone Star
957	Hercules
958	Anthropophagous
959	That's Dancing!
960	Arachnophobia
961	Car Wash
962	A Kid in King Arthur's Court
963	Fahrenheit 9/11
964	1900
965	City Hall
966	Ronin
967	Don't Say a Word
968	To Be or Not to Be
969	Scum
970	I'm Gonna Git You Sucka
971	The Hurricane
972	Under Siege 2: Dark Territory
973	Gerry
974	Beethoven
975	Frequency
976	3: The Dale Earnhardt Story
977	Addicted to Love
978	The Secret Garden
979	Das Testament des Dr. Mabuse
980	Summertime
981	Justice
982	Halloween III: Season of the Witch
983	Longshot
984	Air America
985	Rollerball
986	Master and Commander: The Far Side of the World
987	Naked Lunch
988	Accident
989	Dracula: Dead and Loving It
990	The People vs. Larry Flynt
991	Meteor
992	Percy
993	Can't Hardly Wait
994	Homeboy
995	The Hobbit
996	Harry Potter and the Goblet of Fire
997	Rushmore
998	Hedda
999	Square Dance
1000	What's Up, Doc?
1001	The Emperor's New Groove
1002	Twentieth Century
1003	The Devil's Disciple
1004	1984
1005	Cross Creek
1006	Paris, Texas
1007	Der Fuehrer's Face
1008	The Princess Diaries
1009	Days of Wine and Roses
1010	My Left Foot
1011	Rudy
1012	The Mother
1013	Watership Down
1014	Soul Food
1015	Max
1016	After Hours
1017	The Philadelphia Experiment
1018	Godfather
1019	King of Kings
1020	Reuben, Reuben
1021	Sylvia
1022	Hulk
1023	If...
1024	Maverick
1025	Irreversible
1026	Colossus: The Forbin Project
1027	Thunderbolt
1028	Hud
1029	The Rehearsal
1030	Crush
1031	Win a Date with Tad Hamilton!
1032	Alien Nation
1033	The Exorcist
1034	Rebecca
1035	Rush Hour
1036	Men in Black
1037	An American Tail: Fievel Goes West
1038	Fever Pitch
1039	The Trip
1040	Catwoman
1041	Boogeyman
1042	Henry: Portrait Of A Serial Killer
1043	Iris
1044	Harold & Kumar Go to White Castle
1045	The Hitchhiker's Guide to the Galaxy
1046	M. Butterfly
1047	Slap Shot
1048	Shadows
1049	The Yearling
1050	Raw Deal
1051	UHF
1052	Coquette
1053	New Rose Hotel
1054	The Fiendish Plot of Dr. Fu Manchu
1055	Greystoke - The Legend of Tarzan, Lord of the Apes
1056	Rapid Fire
1057	I Want to Live!
1058	Starship Troopers
1059	Truly, Madly, Deeply
1060	Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean
1061	The First $20 Million Is Always the Hardest
1062	Blue
1063	Where the Heart Is
1064	The Haunted Mansion
1065	Harry Potter and the Prisoner of Azkaban
1066	Blank Check
1067	Wasabi
1068	Mo' Better Blues
1069	Inchon
1070	Lovin' Molly
1071	Blink
1072	Ishtar
1073	Above the Law
1074	The Lord of the Rings
1075	Nowhere
1076	Rigoletto
1077	No Way Out
1078	Jabberwocky
1079	The X Files
1080	DuckTales the Movie: Treasure of the Lost Lamp
1081	Excalibur
1082	Midnight Express
1083	Red Dragon
1084	Identity
1085	Henry V
1086	Music Box
1087	2001: A Space Odyssey
1088	Night Shift
1089	John Carter of Mars
1090	Traffic
1091	Tillie's Punctured Romance
1092	Philadelphia
1093	Prince of Darkness
1094	American Girl
