Actor;Movies
Roger Bart;The Stepford Wives|Hercules|The Insider|Lady and the Tramp II: Scamp's Adventure
Claire Forlani;The Rock|Antitrust
Claudia Cardinale;Jesus of Nazareth|8Â½|The Professionals
Montgomery Clift;I Confess|The Misfits|Red River
Linda Darnell;Brigham Young|The Mark of Zorro
William Smith;Nam's Angels|Fever Pitch
Amitabh Bachchan;Khabi Khushi Kabhi Gham|Silsila
David Marshall Grant;Air America|Bat*21
Mayumi Tanaka;Clash!! 10,000,000,000 Powerful Warriors|Laputa: Castle in the Sky|Dead Zone|Burn Up!! A Close, Intense, Super-Fierce Battle
Heather Angel;Peter Pan|The Informer|Bulldog Drummond's Secret Police|Lifeboat|Berkeley Square|Alice in Wonderland
Dexter Fletcher;Doom|Layer Cake
William Hope;XXX|Aliens|The Saint
Jack Hawkins;Zulu|Ben-Hur|Waterloo|The League of Gentlemen|Lawrence of Arabia|The Cruel Sea
Catherine Hicks;Child's Play|Star Trek IV: The Voyage Home|Fever Pitch
Donald Meek;Young Mr. Lincoln|Stagecoach
Tom Towles;Henry: Portrait Of A Serial Killer|Night of the Living Dead
Clancy Brown;Starship Troopers|The Hurricane|Atlantis: Milo's Return|The Little Mermaid II: Return to the Sea
Robert Mitchum;Crossfire|Ryan's Daughter|Heaven Knows, Mr. Allison|Cape Fear|The Night of the Hunter|The Last Tycoon|The Longest Day|El Dorado|Midway|The Story of G.I. Joe
Jimmy Smits;Star Wars Episode III: Revenge of the Sith|Star Wars Episode II: Attack of the Clones|My Family
Dash Mihok;Romeo + Juliet|Basic|The Thin Red Line|The Guru
Alan Bates;Walker|The Rose|Hamlet|Women in Love|King of Hearts
Zooey Deschanel;The Hitchhiker's Guide to the Galaxy|Elf|Eulogy
Marc Blucas;First Daughter|The Alamo
Mick Jagger;Ned Kelly|Performance|Bent
Jack Gilford;Cocoon: The Return|Cocoon|Caveman
Eddie Albert;Dreamscape|Smash-Up, the Story of a Woman|Captain Newman, M.D.|I'll Cry Tomorrow|The Heartbreak Kid
Anita Pallenberg;Performance|Candy
Rod Steiger;Waterloo|Happy Birthday, Wanda June|The Hurricane|The Longest Day|F.I.S.T
Luther Adler;M|D.O.A.
Jennifer Esposito;Taxi|Don't Say a Word|Breakin' All the Rules
Richard Attenborough;Doctor Dolittle|The Sand Pebbles|The Lost World: Jurassic Park|Private's Progress|Elizabeth|I'm All Right Jack|The League of Gentlemen|Dunkirk|Hamlet|Jurassic Park
Jack Noseworthy;Alive|Event Horizon|U-571
Minnie Driver;Sleepers|South Park: Bigger, Longer & Uncut|The Phantom of the Opera
John Cleese;An American Tail: Fievel Goes West|Charlie's Angels: Full Throttle|Harry Potter and the Philosopher's Stone|The Jungle Book|Clockwise|Harry Potter and the Chamber of Secrets|Mary Shelley's Frankenstein|Rat Race
Victor Mature;Head|Kiss of Death|Samson and Delilah
Shamili;Anjali|Anjali
Kenneth Tobey;The Beast from 20,000 Fathoms|The Thing
Akim Tamiroff;Alphaville|Tortilla Flat
Leo McKern;Ryan's Daughter|The Blue Lagoon
Andy Richter;Elf|Dr. Dolittle 2|Cabin Boy|New York Minute|Madagascar
Harry Carey, Jr.;Rio Grande|Red River|Rio Bravo
Tommy Kirk;Swiss Family Robinson|The Shaggy Dog
Lou Jacobi;The Diary of Anne Frank|Everything You Always Wanted to Know About Sex (But Were Afraid to Ask)|Avalon
Lonette McKee;The Cotton Club|Malcolm X
John Garfield;Gentleman's Agreement|Tortilla Flat|Under My Skin|Juarez|Body and Soul
Ken Hudson Campbell;Groundhog Day|Armageddon
Schuyler Fisk;The Baby-Sitters Club|Orange County
Benicio del Toro;Traffic|Fearless|Sin City|The Funeral|The Hunted|Snatch|The Pledge
Robert Carradine;Revenge of the Nerds III: The Next Generation|Revenge of the Nerds IV: Nerds in Love|Max Keeble's Big Move|Revenge of the Nerds II: Nerds in Paradise|John Carpenter's Escape from L.A.|Dangerous Curves
Jake Busey;Starship Troopers|Identity|Tomcats|The First $20 Million Is Always the Hardest
Catherine Keener;8mm|About Last Night|Full Frontal
Pamela Gidley;Liebestraum|Twin Peaks: Fire Walk With Me
Peter Ustinov;Lorenzo's Oil|Quo Vadis|Topkapi|Robin Hood|Spartacus
James Purefoy;John Carter of Mars|Resident Evil|A Knight's Tale|Vanity Fair
Anthony Hopkins;The Elephant Man|Magic|Titus|Nixon|Hannibal|Chaplin|Howards End|Bram Stoker's Dracula|All the King's Men|Red Dragon|The Edge|Amistad|Alexander
Greta Garbo;Romance|Grand Hotel
Ronald Colman;Condemned|Lost Horizon|A Tale of Two Cities|Bulldog Drummond|Arrowsmith
Richard Griffiths;Sleepy Hollow|Greystoke - The Legend of Tarzan, Lord of the Apes|Harry Potter and the Chamber of Secrets|Harry Potter and the Order of the Phoenix|Harry Potter and the Philosopher's Stone|Harry Potter and the Prisoner of Azkaban
Scatman Crothers;Twilight Zone: The Movie|The Shining
Riley Smith;Voodoo Academy|New York Minute
Mari­lia Pera;Central do Brasil|Central do Brasil
Sean Astin;The Lord of the Rings: The Fellowship of the Ring|The Lord of the Rings: The Return of the King|The Lord of the Rings: The Two Towers|Deterrence|Rudy
Jordan Ladd;Nowhere|Cabin Fever
KaDee Strickland;Anacondas: The Hunt for the Blood Orchid|Something's Gotta Give
Karen Young;Daylight|Criminal Law
Roddy McDowall;Alice in Wonderland|Planet of the Apes|The Pied Piper|The Poseidon Adventure|A Bug's Life|The Return of the King|Rabbit Test|That Darn Cat!
Rainn Wilson;BAADASSSSS!|America's Sweethearts|Sahara
Pierre Watkin;Don't Knock the Rock|Young Dr. Kildare
Peter Cushing;Tales from the Crypt|Hamlet|The Mummy|Dracula|Star Wars Episode IV: A New Hope|Top Secret!|Dr. Phibes Rises Again|Dr. Who and the Daleks
Ivor Barnard;Beat the Devil|Beat the Devil
Dave Foley;South Park: Bigger, Longer & Uncut|A Bug's Life
Tony Burton;Assault on Precinct 13|The Shining
Kirk Douglas;Gunfight at the O.K. Corral|The Devil's Disciple|In Harm's Way|Lust for Life|Dead Men Don't Wear Plaid|Spartacus
Candi Milo;Jimmy Neutron: Boy Genius|Rugrats Go Wild!
Linda Blair;The Exorcist|Exorcist II: The Heretic|Scream
John Hannah;Pandaemonium|The Mummy|Circus|The Hurricane
Paul Guilfoyle;Exiled: A Law & Order Movie|Air Force One
Byron Mann;Street Fighter|Catwoman
Lionel Barrymore;Personal History, Adventures, Experience, and Observation of David Copperfield the Younger|Test Pilot|Young Dr. Kildare|Key Largo|Grand Hotel|It's a Wonderful Life
Charlie Korsmo;Dick Tracy|Can't Hardly Wait|Hook|What About Bob?
Laura Dern;Industrial Symphony No. 1|Mask|Dr. T & the Women|Wild at Heart|Jurassic Park|Ladies and Gentlemen, The Fabulous Stains
Ai Maeda;Batoru rowaiaru II: Chinkonka|Batoru rowaiaru II: Chinkonka
James Caan;Thief|Elf|Bottle Rocket|Bulletproof|Rollerball|The Gambler|Santa's Slay|Eraser|Alien Nation|El Dorado
Edward Everett Horton;Top Hat|Holiday|Alice in Wonderland
Tone-Loc;Posse|Ace Ventura: Pet Detective|Blank Check
Joyce Grenfell;Blue Murder at St Trinian's|The Pure Hell of St Trinian's|The Belles of St Trinian's
G. W. Bailey;Police Academy|Short Circuit|Mannequin
Bob Sweeney;Marnie|Marnie
Rebecca Gayheart;Urban Legend|Santa's Slay
Kenny Baker;Star Wars Episode III: Revenge of the Sith|Star Wars Episode II: Attack of the Clones|Star Wars Episode IV: A New Hope|Star Wars Episode V: The Empire Strikes Back|Star Wars Episode VI: Return of the Jedi|Star Wars Episode I: The Phantom Menace
Brooke Shields;Sahara|Endless Love|Pretty Baby|The Blue Lagoon|Freeway|Black and White
Frances Conroy;Catwoman|The Crucible
Everett Sloane;Somebody Up There Likes Me|Patterns
Drew Barrymore;Fever Pitch|Charlie's Angels: Full Throttle|Poison Ivy|Bad Girls|Home Fries|E.T. the Extra-Terrestrial|Cat's Eye|Scream|Charlie's Angels
Geena Davis;The Fly|Hero
Jason Barry;Monument Ave.|Titanic|Monument Ave.
Iain Glen;Kingdom of Heaven|Resident Evil: Apocalypse|Lara Croft: Tomb Raider|Darkness
Nigel De Brulier;Salome|Salome
Holt McCallany;Alien3|Three Kings
Stacy Keach;Cheech & Chong's Up in Smoke|John Carpenter's Escape from L.A.|Batman: Mask of the Phantasm
Christina Applegate;Anchorman: The Legend of Ron Burgundy|Nowhere|Don't Tell Mom the Babysitter's Dead
George Lucas;Star Wars Episode III: Revenge of the Sith|Hearts of Darkness: A Filmmakers's Apocalypse
Mike Myers;Austin Powers: International Man of Mystery|54|Wayne's World 2|Austin Powers:The Spy Who Shagged Me|Wayne's World|Austin Powers: Goldmember
Michael McKean;The Guru|Clue
Tom Everett Scott;That Thing You Do!|Boiler Room|National Lampoon's Van Wilder
Julia Roberts;Sleeping with the Enemy|Closer|Notting Hill|America's Sweethearts|Hook|Erin Brockovich|Conspiracy Theory|Full Frontal|Michael Collins|My Best Friend's Wedding|Ocean's Twelve
Margot Kidder;Superman|Superman IV: The Quest For Peace|Sisters
James Marsden;X-Men|X2
Steve Railsback;Lifeforce|Helter Skelter
Famke Janssen;Made|House on Haunted Hill|Celebrity|Monument Ave.|Don't Say a Word|Circus|Rounders|Hide and Seek|Eulogy|X-Men|X2
Stephen Moyer;Trinity|Uprising
Al Lettieri;The Getaway|Mr. Majestyk
Peter Greene;The Mask|Blue Streak|Judgment Night
Hugo Weaving;The Lord of the Rings: The Fellowship of the Ring|The Lord of the Rings: The Return of the King|The Adventures of Priscilla, Queen of the Desert|Babe|The Lord of the Rings: The Two Towers
Jim Carrey;Ace Ventura: When Nature Calls|Dumb & Dumber|Lemony Snicket's A Series of Unfortunate Events|Ace Ventura: Pet Detective|The Mask|Me, Myself & Irene
Fernanda Montenegro;Central do Brasil|Que i Isso, Companheiro?
Howard Morris;Tom and Jerry: The Movie|Splash
Kirby Heyborne;The R.M.|The R.M.
Jack Davenport;Pirates of the Caribbean: The Curse of the Black Pearl|The Talented Mr. Ripley|Pirates of the Caribbean: Dead Man's Chest
Timothy Spall;Intimacy|Gothic|Secrets & Lies|Harry Potter and the Half-Blood Prince|Lemony Snicket's A Series of Unfortunate Events|Quadrophenia|Love's Labour's Lost|Rock Star|Hamlet|Life Is Sweet|Harry Potter and the Prisoner of Azkaban
Michael Dorn;Star Trek: Insurrection|Star Trek Nemesis|Star Trek: First Contact|Star Trek: Generations
James Duval;Nowhere|Gone in Sixty Seconds
Nigel Hawthorne;The Black Cauldron|Demolition Man|Firefox|Amistad|Richard III
John Qualen;Casablanca|The Searchers|Arrowsmith
Kevin Anderson;Sleeping with the Enemy|Liebestraum
Daryl Hannah;The Clan of the Cave Bear|Kill Bill|The Little Rascals|Splash|Roxanne|Wall Street|Silver City
Louise Lasser;Happiness|Everything You Always Wanted to Know About Sex (But Were Afraid to Ask)|Bananas
Jamie Kennedy;Romeo + Juliet|Three Kings|Scream|Max Keeble's Big Move
Annette Funicello;Head|Babes in Toyland|The Shaggy Dog
Richard Mulligan;Micki + Maude|S.O.B.
Vanessa Hudgens;Thirteen|Thunderbirds
Justin Long;Dodgeball: A True Underdog Story|Crossroads|Herbie: Fully Loaded
Michael Emerson;Saw|Unfaithful
Amber Benson;Chance|Don's Plum
Susan Sarandon;Rugrats in Paris: The Movie|Twilight|Alfie|Atlantic City|Anywhere But Here|Pretty Baby|Shall We Dance?|Little Women|Lorenzo's Oil|James and the Giant Peach|Children of Dune
Frank Morgan;Tortilla Flat|The Wizard of Oz
M. Emmet Walsh;Chairman of the Board|Airport '77
Caroline Lawson;Pokamon: Destiny Deoxys|Pokamon: Jirachi Wishmaker
Jay Leno;Cars|The Flintstones|Robots
Sienna Miller;Alfie|Layer Cake
Rumer Willis;Hostage|Striptease
John Shea;Honey, I Blew Up the Kid|Missing
Helen Hayes;Anastasia|Arrowsmith|Airport
Michael York;Puss in Boots|Austin Powers: Goldmember|Austin Powers: International Man of Mystery|Accident|Cabaret|Jesus of Nazareth|54|Romeo and Juliet|Lost Horizon|Austin Powers:The Spy Who Shagged Me
Matthew Walker;Child's Play 3|Child's Play 3
Wilford Brimley;Cocoon|John Carpenter's The Thing|Ewoks: The Battle for Endor|The Firm|Cocoon: The Return|Brigham City|Country|Remo Williams: The Adventure Begins
Mariette Hartley;1969|Marnie
Lennie James;Snatch|Sahara
Bette Midler;The Rose|Beaches|Oliver & Company|The Stepford Wives
Udo Kier;Ace Ventura: Pet Detective|History Is Made at Night|The Adventures of Pinocchio|Seduction: The Cruel Woman|Armageddon|Johnny Mnemonic|Blade
Minta Durfee;Tillie's Punctured Romance|It's a Mad, Mad, Mad, Mad World
Alec Guinness;Star Wars Episode IV: A New Hope|Oliver Twist|The Fall of the Roman Empire|Little Dorrit|Hitler: The Last Ten Days|The Swan|Star Wars Episode V: The Empire Strikes Back|Lawrence of Arabia|Scrooge
Nathalie Baye;From Time to Time/De Temps en Temps|Day for Night
Haruo Nakajima;Godzilla|Ghidorah, the Three-Headed Monster
Mia Farrow;Alice|The Last Unicorn
Stephen Boyd;The Fall of the Roman Empire|Ben-Hur
Kris Kristofferson;Blade: Trinity|Lone Star|Alice Doesn't Live Here Anymore|Millennium|Planet of the Apes|Heaven's Gate|Blade
Michael Ealy;Barbershop 2: Back in Business|Barbershop
Paxton Whitehead;Kate & Leopold|Boris and Natasha
Ruby Dee;King: a Filmed Record...Montgomery To Memphis|Cat People
Rosario Dawson;Kids|Sin City|The First $20 Million Is Always the Hardest|25th Hour|Josie and the Pussycats|Rent|Alexander
Harvey Keitel;Pulp Fiction|National Treasure|U-571|Hearts of Darkness: A Filmmakers's Apocalypse|Alice Doesn't Live Here Anymore|Holy Smoke!|Little Nicky|Red Dragon|Point of No Return
John Savage;The Thin Red Line|Salvador|Hair
Eileen Atkins;Vanity Fair|Cold Mountain
Naveen Andrews;Kama Sutra: A Tale of Love|Rollerball|The English Patient
Aaron Eckhart;Possession|Thursday|Erin Brockovich|The Pledge
Pete Postlethwaite;Romeo + Juliet|Alien3|The Lost World: Jurassic Park|Hamlet|Distant Voices, Still Lives|Amistad
Terrence Howard;Big Momma's House|Glitter|The Jacksons: An American Dream|Hart's War
Robert Rounseville;The Tales of Hoffmann|The Tales of Hoffmann
Gary Cooper;It|Friendly Persuasion|Alice in Wonderland|Vera Cruz|Wings|Morocco
Kevin Spacey;Beyond the Sea|Outbreak|American Beauty|Pay It Forward|The Big Kahuna|A Bug's Life
Joely Richardson;Event Horizon|The Patriot
Gibson Gowland;Greed|The Phantom of the Opera
Tea Leoni;Spanglish|Deep Impact|Bad Boys
Kinpei Azusa;Clash!! 10,000,000,000 Powerful Warriors|A Lonesome, Final Battle: The Father of Z-Warrior Son Goku, who Challenged Freeza
Colin Farrell;Minority Report|Hart's War|Veronica Guerin|Intermission|Phone Booth|S.W.A.T.|Daredevil|Alexander
Samantha Eggar;Doctor Dolittle|Hercules
Jerry Van Dyke;McLintock!|Love and Kisses
Saffron Burrows;Enigma|Wing Commander|Troy
Frank Sinatra;That's Entertainment!|Suddenly|Anchors Aweigh|The Manchurian Candidate|Ocean's Eleven|Von Ryan's Express
Matthew Moore;Wilson|Coquette
James Doohan;Star Trek III: The Search for Spock|Star Trek: The Motion Picture|Star Trek IV: The Voyage Home|Star Trek VI: The Undiscovered Country|Star Trek II: The Wrath of Khan|Star Trek V: The Final Frontier
Richard Deacon;That Darn Cat!|The Birds
Michael Maloney;Truly, Madly, Deeply|Hamlet|Henry V|Hamlet
Daisuke Gori;Dead Zone|Rebirth of Fusion!! Goku and Vegeta!!
Joy Bryant;BAADASSSSS!|Antwone Fisher
Ming-Na;Street Fighter|Final Fantasy: The Spirits Within
Dorothy Provine;It's a Mad, Mad, Mad, Mad World|That Darn Cat!
Raul Julia;Street Fighter|Presumed Innocent|The Morning After|Tequila Sunrise|Romero
Joss Ackland;K-19: The Widowmaker|Bill & Ted's Bogus Journey|A Kid in King Arthur's Court
Lee Arenberg;Pirates of the Caribbean: Dead Man's Chest|Dungeons & Dragons
Kevin Pollak;Hostage|That Thing You Do!|She's All That|Casino|Avalon|Dr. Dolittle 2|Willow|Wayne's World 2|Deterrence
Dagmara Dominczyk;Rock Star|The Count of Monte Cristo
John Forsythe;...And Justice for All|Charlie's Angels: Full Throttle|Topaz|Charlie's Angels|Madame X
Katharine Hepburn;Morning Glory|Summertime|Adam's Rib|Guess Who's Coming to Dinner|Mary of Scotland
Bridget Moynahan;Serendipity|I, Robot
Larry Hagman;In Harm's Way|S.O.B.
Ashton Kutcher;Dude, Where's My Car?|Cheaper by the Dozen
Robert DoQui;Nashville|Cloak & Dagger
Ludmilla Tcherina;The Tales of Hoffmann|Oh... Rosalinda!!|The Red Shoes
James Van Der Beek;Angus|Laputa: Castle in the Sky|The Rules of Attraction
Phil Fondacaro;The Black Cauldron|Willow
Madlaine Traverse;Poor Little Rich Girl|Poor Little Rich Girl
Mary Stuart Masterson;Bad Girls|Benny & Joon
Dan Aykroyd;Sneakers|North|Twilight Zone: The Movie|The Rutles|My Girl|Pearl Harbor|Chaplin|Mr. Mike's Mondo Video|Nothing Lasts Forever|Crossroads|1941
Marton Csokas;Kingdom of Heaven|XXX|Timeline
Justin Whalin;Child's Play 3|Dungeons & Dragons
Ossie Davis;BAADASSSSS!|Dinosaur
Lon Poff;Greed|The Three Musketeers|Flash Gordon
James Whitmore;Tora! Tora! Tora!|Them!|Planet of the Apes
Paula Garces;Harold & Kumar Go to White Castle|Man of the House
Jim Broadbent;Around the World in 80 Days|The Avengers|Richard III|Superman IV: The Quest For Peace|Life Is Sweet|Moulin Rouge!|Harry Potter and the Half-Blood Prince|Iris|Bridget Jones: The Edge of Reason|Vanity Fair|Robots
Louis Doyle;Harry Potter and the Chamber of Secrets|Harry Potter and the Goblet of Fire
June Allyson;That's Entertainment III|Strategic Air Command
Zeppo Marx;Animal Crackers|Monkey Business
Toku Nishio;Clash!! 10,000,000,000 Powerful Warriors|Rebirth of Fusion!! Goku and Vegeta!!
Johnny Knoxville;The Dukes of Hazzard|Jackass: The Movie
John Byner;The Black Cauldron|Wishmaster
Anna Friel;Timeline|The Land Girls
Jason Isaacs;Event Horizon|Elektra|Harry Potter and the Chamber of Secrets|Harry Potter and the Goblet of Fire|Armageddon|Peter Pan|Harry Potter and the Order of the Phoenix|The Patriot|Soldier
Yoichi Numata;Ring|Ring
John Leyton;BMX Bandits|Von Ryan's Express
Philip Baker Hall;Rush Hour|Magnolia|The Talented Mr. Ripley|Hard Eight|The Contender|The Insider|Rules of Engagement
Satish Shah;Dilwale Dulhaniy Le Jayenge|Mujhse Dosti Karoge!
Gemma Jones;Bridget Jones: The Edge of Reason|The Devils|Harry Potter and the Half-Blood Prince|Harry Potter and the Chamber of Secrets|Sense and Sensibility
Rudolf Martin;Bedazzled|Swordfish
Mieko Harada;Dreams|Ran
Debbie Harry;Tales from the Darkside: The Movie|Heavy
Matt McGrath;The Broken Hearts Club: A Romantic Comedy|Boys Don't Cry|The Broken Hearts Club: A Romantic Comedy
Oliver Platt;Lake Placid|Kinsey|Don't Say a Word|Beethoven
John Heard;After Hours|Radio Flyer|Beaches|C.H.U.D.|O|Cat People|Home Alone 2: Lost in New York|Pollock
Robin Williams;The Final Cut|What Dreams May Come|Fathers' Day|Hamlet|To Wong Foo, Thanks for Everything! Julie Newmar|Jack|Toys|A.I.|Aladdin|Patch Adams|Hook|The Fisher King|Popeye|Robots
Joan Plowright;Dinosaur|Avalon
Rhonda Fleming;Gunfight at the O.K. Corral|Inferno|Spellbound|Tennessee's Partner
Christopher McDonald;Dirty Work|SLC Punk!|The Skulls|61*
Janine Turner;Cliffhanger|Dr. T & the Women
Charles Lane;It's a Mad, Mad, Mad, Mad World|It's a Wonderful Life|Arsenic and Old Lace
Lee Patrick;Vertigo|Pillow Talk
Rupert Grint;Harry Potter and the Order of the Phoenix|Harry Potter and the Half-Blood Prince|Harry Potter and the Philosopher's Stone|Harry Potter and the Chamber of Secrets|Harry Potter and the Goblet of Fire|Harry Potter and the Prisoner of Azkaban
Kevin Kline;Chaplin|The Big Chill|The Hunchback of Notre Dame|Dave|The Emperor's Club|French Kiss|In & Out
Peter Jurasik;Babylon 5: The Gathering|Problem Child
Meryl Streep;Lemony Snicket's A Series of Unfortunate Events|Adaptation|The Manchurian Candidate|Out of Africa|Manhattan|Marvin's Room|A.I.|The House of the Spirits
Ewan McGregor;Star Wars Episode III: Revenge of the Sith|The Island|Star Wars Episode I: The Phantom Menace|The Pillow Book|Star Wars Episode II: Attack of the Clones|Moulin Rouge!|Trainspotting|Young Adam|Robots
